configuration_id,base_policy_id,record_type,operational_status,evidence_tier,classification_status,behavior_cluster_id,markets,sessions,timeframes,mechanisms,normal_passes_all_horizons,stressed_passes_all_horizons,confirmation_status,xfa_profile_id,xfa_standard_paths,xfa_standard_first_payouts,xfa_consistency_paths,xfa_consistency_first_payouts,next_evidence_action
autonomous_marginal_book_2f3752128ff0fd44a71b2327,autonomous_marginal_book_2f3752128ff0fd44a71b2327,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_4202306a5c17e712,ES|YM,0|1,1m|5m,EXHAUSTION_REVERSAL|MULTI_TIMEFRAME_ALIGNMENT,5,5,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,5,1,5,1,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
autonomous_marginal_book_74271a65d77ce0c7fe144170,autonomous_marginal_book_74271a65d77ce0c7fe144170,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_c5ac0c9b925c5573,NQ,1,1m|60m,CROSS_ASSET_STATE|EXHAUSTION_REVERSAL,2,2,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,2,0,2,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
autonomous_marginal_book_b09b8e7b30f90b34737eb724,autonomous_marginal_book_b09b8e7b30f90b34737eb724,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_3a3d75293d3ab049,ES|YM,1,1m,CROSS_ASSET_STATE|MULTI_TIMEFRAME_ALIGNMENT,7,6,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
autonomous_marginal_book_bc8188389b6938ed6a9dd36f,autonomous_marginal_book_bc8188389b6938ed6a9dd36f,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_c9534a557977701b,ES|YM,0|1,1m|5m,EXHAUSTION_REVERSAL|MULTI_TIMEFRAME_ALIGNMENT,5,5,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,5,1,5,1,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_0071eb35a8bbbda33b5ddf5c,hazard_0071eb35a8bbbda33b5ddf5c,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_860873905d675d35,NQ,2,60m,DISPLACEMENT_ACCELERATION,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_00ff6280ec48f734979b160c,hazard_00ff6280ec48f734979b160c,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_b64af02479dd980f,NQ,0,5m,CROSS_ASSET_STATE,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_01340d634a288f435a06760c,hazard_01340d634a288f435a06760c,BASE_POLICY,QUARANTINED_EXACT_POLICY_CELL,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_dc5d7dd88c81b5de,YM,1,15m,CROSS_ASSET_STATE,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,DO_NOT_REUSE_EXACT_QUARANTINED_CELL_NEW_FINGERPRINT_REQUIRED
hazard_01ab61608a2c63ef623d85fb,hazard_01ab61608a2c63ef623d85fb,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_a1bdfbe6a26a8ef0,NQ,0,60m,FAILED_CONTINUATION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_020ae195ccef8e39b1907e38,hazard_020ae195ccef8e39b1907e38,BASE_POLICY,QUARANTINED_EXACT_POLICY_CELL,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_b189f77f698a9b1d,YM,0,15m,CROSS_ASSET_STATE,2,2,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,DO_NOT_REUSE_EXACT_QUARANTINED_CELL_NEW_FINGERPRINT_REQUIRED
hazard_02b0e90fc637dfb927864676,hazard_02b0e90fc637dfb927864676,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_d7960ff0289a156e,NQ,0,60m,FAILED_CONTINUATION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_03bc777e62c6335af8780028,hazard_03bc777e62c6335af8780028,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_25b64249331b33e0,NQ,1,5m,RANGE_BREAKOUT_WITH_ROOM,1,1,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,1,1,1,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_046450fc80a784fe4d68419e,hazard_046450fc80a784fe4d68419e,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_84c96355e0d8a4a1,NQ,1,5m,RANGE_BREAKOUT_WITH_ROOM,2,2,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_064a532200b3609167f71b95,hazard_064a532200b3609167f71b95,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_85a6c73381e5769c,NQ,0,1m,FAILED_CONTINUATION_REVERSAL,8,6,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_07a39a76d6fa0d1c604a5ad9,hazard_07a39a76d6fa0d1c604a5ad9,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_e2b2964d4f6c12c3,NQ,-1,30m,EXHAUSTION_REVERSAL,3,3,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_09ee35bc24190bb213469e6a,hazard_09ee35bc24190bb213469e6a,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_706b9fec6a2f650b,NQ,1,1m,CROSS_ASSET_STATE,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
